country;confirmed;deaths;recovered;Lat;Long;population;active;confirmed_ratio;deaths_ratio;recovered_ratio;active_ratio
Afghanistan;185272.0;7743.0;119394.0;33.93911;67.709953;39835428.0;58135.0;0.004650935343282868;0.00019437471589360105;0.0029971813030350773;0.0014593793243541904
Albania;308050.0;3535.0;284494.0;41.1533;20.1683;2811666.0;20021.0;0.1095613774893604;0.0012572617088942998;0.10118342648095471;0.007120689299511393
Algeria;267096.0;6876.0;215012.0;28.0339;1.6596;44616626.0;45208.0;0.005986467914449649;0.00015411295331924023;0.004819100395444515;0.0010132545656858947
Andorra;45326.0;153.0;43019.0;42.5063;1.5218;77354.0;2154.0;0.5859554774155182;0.0019779196938749127;0.5561315510510122;0.027846006670631123
Angola;102301.0;1912.0;95810.0;-11.2027;17.8739;33933611.0;4579.0;0.003014739574871652;5.6345314973994366e-05;0.0028234543031686195;0.00013493995672903778
Antigua and Barbuda;8741.0;144.0;8198.0;17.0608;-61.7964;98728.0;399.0;0.08853618021230046;0.0014585527915079814;0.08303622072765578;0.004041406693136699
Argentina;9507562.0;129278.0;8981554.0;-38.4161;-63.6167;45808747.0;396730.0;0.2075490517127657;0.0028221247789204976;0.1960663538777867;0.008660573056058486
Armenia;425365.0;8633.0;401654.0;40.0691;45.0382;2968128.0;15078.0;0.14331086799491127;0.002908567285507903;0.13532233111240485;0.005079969596998512
Australia;9282271.0;11512.0;8352901.0;-32.106275000000004;141.3554875;25739256.0;917858.0;0.36062701268443814;0.000447254574879709;0.32451990842314943;0.035659849686408965
Austria;4753092.0;20278.0;4406096.0;47.5162;14.5501;8956279.0;326718.0;0.5306994121107661;0.0022641099054640885;0.4919560902468536;0.03647921195844837
Azerbaijan;797281.0;9741.0;759289.0;40.1431;47.5769;10145212.0;28251.0;0.07858692356552037;0.0009601573629018299;0.07484210285600734;0.0027846633466111896
Bahrain;657669.0;1509.0;628912.0;26.0275;50.55;1748295.0;27248.0;0.37617736137207963;0.0008631266462467719;0.359728764310371;0.01558547041546192
Bangladesh;2003570.0;29280.0;1923634.0;23.685;90.3563;166303494.0;50656.0;0.012047672311683362;0.0001760636490295267;0.011567008928868326;0.00030459973378550904
Barbados;90934.0;489.0;82887.0;13.1939;-59.5432;287708.0;7558.0;0.31606350883534695;0.0016996399126892544;0.28809417882019267;0.026269690102465
